date,day_type,peak_mean
2017-03-09,weekday,6160.333333
2017-03-10,weekday,5878.0
2017-03-11,weekend,3049.666667
2017-03-12,weekend,1789.666667
2017-03-14,weekday,5816.0
2017-03-16,weekday,6025.666667
2017-03-17,weekday,5533.0
2017-03-18,weekend,2991.333333
2017-03-19,weekend,2042.333333
2017-03-20,weekday,5712.333333
2017-03-22,weekday,6059.666667
2017-03-23,weekday,6110.333333
2017-03-24,weekday,5649.0
2017-03-25,weekend,2691.666667
2017-03-26,weekend,1908.333333
2017-03-27,weekday,5998.333333
2017-03-28,weekday,6060.666667
2017-03-29,weekday,6217.0
2017-03-30,weekday,6057.666667
2017-03-31,weekday,5892.0
2017-04-01,weekend,2995.333333
2017-04-02,weekend,2204.0
2017-04-03,weekday,5673.333333
2017-04-04,weekday,6091.333333
2017-04-05,weekday,6107.0
2017-04-06,weekday,5985.666667
2017-04-08,weekend,3057.0
2017-04-09,weekend,2045.0
2017-04-10,weekday,5905.0
2017-04-11,weekday,5835.666667
2017-04-12,weekday,6104.0
2017-04-14,weekday,5328.333333
2017-04-15,weekend,2584.666667
2017-04-16,weekend,2003.333333
2017-04-17,weekday,5995.0
2017-04-18,weekday,5709.666667
2017-04-19,weekday,5770.0
2017-04-20,weekday,5851.333333
2017-04-21,weekday,5977.666667
2017-04-22,weekend,3456.333333
2017-04-23,weekend,2167.0
2017-04-24,weekday,6103.333333
2017-04-25,weekday,6105.333333
2017-04-26,weekday,5616.666667
2017-04-27,weekday,5959.333333
2017-04-28,weekday,6096.666667
2017-04-29,weekend,3470.0
2017-04-30,weekend,2107.333333
2017-05-01,weekday,5693.0
2017-05-02,weekday,6128.333333
2017-05-03,weekday,5561.0
2017-05-04,weekday,6057.333333
2017-05-05,weekday,5735.666667
2017-05-06,weekend,3332.666667
2017-05-07,weekend,2324.333333
2017-05-08,weekday,5731.333333
2017-05-09,weekday,6083.666667
2017-05-10,weekday,5882.666667
2017-05-11,weekday,5805.0
2017-05-12,weekday,5864.666667
2017-05-13,weekend,3140.0
2017-05-14,weekend,2298.666667
2017-05-15,weekday,5737.666667
2017-05-16,weekday,5660.666667
2017-05-17,weekday,5937.333333
2017-05-18,weekday,6024.666667
2017-05-19,weekday,5380.333333
2017-05-20,weekend,2945.333333
2017-05-21,weekend,2016.0
2017-05-22,weekday,5698.666667
2017-05-23,weekday,5974.333333
2017-05-24,weekday,5994.333333
2017-05-25,weekday,5676.0
2017-05-26,weekday,5345.333333
2017-05-27,weekend,2080.333333
2017-05-28,weekend,1992.333333
2017-05-29,weekday,1776.0
2017-05-30,weekday,5834.333333
2017-05-31,weekday,5907.666667
2017-06-01,weekday,5868.333333
2017-06-02,weekday,5638.666667
2017-06-03,weekend,2550.666667
2017-06-04,weekend,2430.0
2017-06-05,weekday,5658.333333
2017-06-06,weekday,5616.333333
2017-06-07,weekday,5663.333333
2017-06-08,weekday,5888.0
2017-06-09,weekday,5561.0
2017-06-10,weekend,2888.666667
2017-06-11,weekend,1467.666667
2017-06-12,weekday,5516.666667
2017-06-13,weekday,5699.0
2017-06-14,weekday,5395.666667
2017-06-15,weekday,5722.0
2017-06-16,weekday,5464.666667
2017-06-17,weekend,2755.333333
2017-06-18,weekend,1974.0
2017-06-19,weekday,5195.0
2017-06-20,weekday,5572.333333
2017-06-21,weekday,5871.0
2017-06-22,weekday,5649.333333
2017-06-23,weekday,5762.666667
2017-06-24,weekend,3034.666667
2017-06-25,weekend,2434.0
2017-06-26,weekday,5432.333333
2017-06-27,weekday,5700.666667
2017-06-28,weekday,5151.0
2017-06-29,weekday,5736.666667
2017-06-30,weekday,5164.0
2017-07-01,weekend,2677.333333
2017-07-03,weekday,3596.666667
2017-07-04,weekday,1454.333333
2017-07-05,weekday,5098.333333
2017-07-06,weekday,5415.0
2017-07-07,weekday,5174.0
2017-07-08,weekend,2556.0
2017-07-09,weekend,2025.0
2017-07-10,weekday,5686.0
2017-07-11,weekday,5667.333333
2017-07-12,weekday,5887.666667
2017-07-13,weekday,5853.666667
2017-07-14,weekday,5619.666667
2017-07-15,weekend,2866.666667
2017-07-16,weekend,2067.666667
2017-07-17,weekday,5592.333333
2017-07-18,weekday,5855.666667
2017-07-19,weekday,5815.333333
2017-07-20,weekday,5938.0
2017-07-21,weekday,5317.0
2017-07-22,weekend,2661.333333
2017-07-23,weekend,1887.0
2017-07-24,weekday,5637.666667
2017-07-25,weekday,5858.333333
2017-07-26,weekday,5852.333333
2017-07-27,weekday,5811.0
2017-07-28,weekday,5522.666667
2017-07-29,weekend,2413.333333
2017-07-30,weekend,1901.333333
2017-07-31,weekday,5644.333333
2017-08-01,weekday,5801.666667
2017-08-02,weekday,5802.666667
2017-08-03,weekday,5354.333333
2017-08-04,weekday,5434.333333
2017-08-05,weekend,2745.333333
2017-08-06,weekend,2014.666667
2017-08-07,weekday,5769.0
2017-08-08,weekday,5883.0
2017-08-09,weekday,5736.666667
2017-08-10,weekday,5950.666667
2017-08-11,weekday,5366.333333
2017-08-12,weekend,2657.666667
2017-08-13,weekend,1798.0
2017-08-14,weekday,5736.666667
2017-08-15,weekday,5819.333333
2017-08-16,weekday,5745.333333
2017-08-17,weekday,5892.333333
2017-08-18,weekday,5459.0
2017-08-19,weekend,2682.666667
2017-08-20,weekend,1965.333333
2017-08-21,weekday,5724.666667
2017-08-22,weekday,5787.333333
2017-08-23,weekday,6020.333333
2017-08-24,weekday,6304.0
2017-08-25,weekday,5719.333333
2017-08-26,weekend,2989.333333
2017-08-27,weekend,2557.333333
2017-08-28,weekday,6150.0
2017-08-29,weekday,6190.666667
2017-08-30,weekday,6087.666667
2017-08-31,weekday,6132.666667
2017-09-01,weekday,5928.333333
2017-09-02,weekend,3051.0
2017-09-03,weekend,2564.666667
2017-09-04,weekday,2080.333333
2017-09-05,weekday,6196.0
2017-09-06,weekday,6074.333333
2017-09-07,weekday,6157.666667
2017-09-08,weekday,6013.333333
2017-09-09,weekend,2948.666667
2017-09-10,weekend,2054.333333
2017-09-11,weekday,5817.666667
2017-09-12,weekday,5940.666667
2017-09-13,weekday,5876.0
2017-09-14,weekday,6070.666667
2017-09-15,weekday,5953.333333
2017-09-16,weekend,3012.0
2017-09-17,weekend,2095.666667
2017-09-18,weekday,5857.0
2017-09-19,weekday,6108.0
2017-09-20,weekday,6138.0
2017-09-21,weekday,5999.333333
2017-09-22,weekday,5886.333333
2017-09-23,weekend,3210.333333
2017-09-24,weekend,2406.333333
2017-09-25,weekday,5923.333333
2017-09-26,weekday,6023.0
2017-09-27,weekday,5985.333333
2017-09-28,weekday,6025.666667
2017-09-29,weekday,6018.666667
2017-09-30,weekend,3601.333333
2017-10-01,weekend,2890.0
2017-10-02,weekday,5883.0
2017-10-03,weekday,5554.0
2017-10-04,weekday,5861.666667
2017-10-05,weekday,5595.333333
2017-10-06,weekday,5855.333333
2017-10-07,weekend,2894.0
2017-10-08,weekend,1967.333333
2017-10-09,weekday,5763.333333
2017-10-10,weekday,5909.333333
2017-10-11,weekday,5954.0
2017-10-12,weekday,5647.666667
2017-10-13,weekday,5868.0
2017-10-14,weekend,2940.0
2017-10-15,weekend,2602.333333
2017-10-16,weekday,5887.666667
2017-10-17,weekday,5923.666667
2017-10-18,weekday,5702.666667
2017-10-19,weekday,5770.0
2017-10-20,weekday,5332.0
2017-10-21,weekend,2597.0
2017-10-22,weekend,2152.666667
2017-10-23,weekday,5842.0
2017-10-24,weekday,5965.666667
2017-10-25,weekday,5824.0
2017-10-26,weekday,5967.666667
2017-10-27,weekday,5061.666667
2017-10-28,weekend,2899.0
2017-10-29,weekend,1789.333333
2017-10-30,weekday,5728.0
2017-10-31,weekday,6012.0
2017-11-01,weekday,5851.0
2017-11-02,weekday,5913.666667
2017-11-03,weekday,5821.333333
2017-11-04,weekend,2745.333333
2017-11-05,weekend,2080.666667
2017-11-06,weekday,5750.0
2017-11-07,weekday,5982.666667
2017-11-08,weekday,6036.333333
2017-11-09,weekday,5927.333333
2017-11-10,weekday,5708.666667
2017-11-11,weekend,3358.0
2017-11-12,weekend,2101.0
2017-11-13,weekday,5937.333333
2017-11-14,weekday,5861.333333
2017-11-15,weekday,6021.0
2017-11-16,weekday,6073.666667
2017-11-17,weekday,5441.666667
2017-11-18,weekend,2975.666667
2017-11-19,weekend,2381.333333
2017-11-20,weekday,5846.0
2017-11-21,weekday,6027.333333
2017-11-22,weekday,5476.666667
2017-11-23,weekday,1495.0
2017-11-24,weekday,2602.666667
2017-11-25,weekend,2242.0
2017-11-26,weekend,1804.333333
2017-11-27,weekday,5875.333333
2017-11-28,weekday,6014.666667
2017-11-29,weekday,5991.666667
2017-11-30,weekday,5925.666667
2017-12-01,weekday,5938.333333
2017-12-02,weekend,3280.333333
2017-12-03,weekend,1966.0
2017-12-04,weekday,5227.666667
2017-12-05,weekday,2357.333333
2017-12-06,weekday,5284.333333
2017-12-07,weekday,5416.333333
2017-12-08,weekday,5538.666667
2017-12-09,weekend,3026.666667
2017-12-10,weekend,1922.0
2017-12-11,weekday,4377.666667
2017-12-12,weekday,5607.0
2017-12-13,weekday,5300.0
2017-12-14,weekday,5728.333333
2017-12-15,weekday,5709.666667
2017-12-16,weekend,2618.333333
2017-12-17,weekend,2174.333333
2017-12-18,weekday,5379.333333
2017-12-19,weekday,5734.333333
2017-12-20,weekday,5870.666667
2017-12-21,weekday,5387.666667
2017-12-22,weekday,4659.666667
2017-12-23,weekend,2072.333333
2017-12-24,weekend,1563.666667
2017-12-25,weekday,1320.666667
2017-12-26,weekday,3066.0
2017-12-27,weekday,4175.666667
2017-12-28,weekday,3324.333333
2017-12-29,weekday,3963.333333
2017-12-30,weekend,1769.666667
2017-12-31,weekend,1554.0
