id,cnt
13413,16
13414,8
13415,4
13416,6
13417,46
13418,162
13419,495
13420,679
13421,297
13422,138
13423,183
13424,202
13425,203
13426,170
13427,194
13428,224
13429,370
13430,643
13431,516
13432,366
13433,319
13434,288
13435,131
13436,66
13437,25
13438,7
13439,5
13440,8
13441,40
13442,152
13443,473
13444,657
13445,318
13446,198
13447,216
13448,274
13449,254
13450,197
13451,292
13452,358
13453,771
13454,777
13455,533
13456,505
13457,332
13458,68
13459,65
13460,34
13461,11
13462,19
13463,36
13464,9
13465,42
13466,126
13467,360
13468,691
13469,373
13470,233
13471,212
13472,274
13473,156
13474,229
13475,216
13476,436
13477,715
13478,622
13479,402
13480,251
13481,122
13482,135
13483,166
13484,103
13485,72
13486,60
13487,25
13488,16
13489,17
13490,15
13491,37
13492,112
13493,207
13494,268
13495,305
13496,457
13497,354
13498,343
13499,380
13500,326
13501,241
13502,177
13503,238
13504,214
13505,163
13506,180
13507,149
13508,113
13509,130
13510,122
13511,43
13512,16
13513,6
13514,19
13515,38
13516,153
13517,258
13518,379
13519,505
13520,504
13521,626
13522,616
13523,624
13524,628
13525,556
13526,515
13527,522
13528,378
13529,345
13530,191
13531,123
13532,47
13533,27
13534,17
13535,2
13536,8
13537,51
13538,157
13539,421
13540,738
13541,345
13542,200
13543,198
13544,314
13545,240
13546,271
13547,281
13548,457
13549,847
13550,741
13551,582
13552,403
13553,296
13554,209
13555,114
13556,64
13557,17
13558,16
13559,6
13560,6
13561,50
13562,190
13563,516
13564,743
13565,339
13566,218
13567,201
13568,229
13569,273
13570,244
13571,285
13572,455
13573,869
13574,877
13575,632
13576,523
13577,378
13578,269
13579,192
13580,66
13581,28
13582,12
13583,12
13584,4
13585,59
13586,190
13587,507
13588,788
13589,342
13590,231
13591,281
13592,310
13593,312
13594,247
13595,317
13596,484
13597,913
13598,891
13599,698
13600,567
13601,397
13602,278
13603,239
13604,92
13605,29
13606,21
13607,8
13608,4
13609,42
13610,181
13611,495
13612,729
13613,344
13614,222
13615,212
13616,279
13617,242
13618,213
13619,238
13620,374
13621,738
13622,688
13623,614
13624,446
13625,271
13626,234
13627,145
13628,97
13629,54
13630,26
13631,12
13632,8
13633,37
13634,139
13635,410
13636,676
13637,363
13638,231
13639,251
13640,299
13641,314
13642,326
13643,323
13644,499
13645,699
13646,622
13647,516
13648,354
13649,260
13650,199
13651,189
13652,191
13653,80
13654,90
13655,43
13656,11
13657,14
13658,50
13659,76
13660,163
13661,337
13662,395
13663,457
13664,487
13665,498
13666,494
13667,497
13668,487
13669,479
13670,481
13671,338
13672,233
13673,300
13674,276
13675,208
13676,188
13677,158
13678,112
13679,55
13680,13
13681,17
13682,18
13683,40
13684,127
13685,226
13686,381
13687,509
13688,511
13689,483
13690,522
13691,501
13692,521
13693,531
13694,419
13695,443
13696,303
13697,271
13698,148
13699,100
13700,58
13701,19
13702,8
13703,3
13704,5
13705,47
13706,161
13707,469
13708,751
13709,293
13710,189
13711,215
13712,278
13713,226
13714,254
13715,236
13716,425
13717,827
13718,812
13719,665
13720,462
13721,322
13722,230
13723,150
13724,38
13725,21
13726,8
13727,6
13728,6
13729,45
13730,194
13731,513
13732,760
13733,333
13734,227
13735,224
13736,248
13737,288
13738,260
13739,144
13740,402
13741,820
13742,857
13743,614
13744,452
13745,352
13746,257
13747,147
13748,47
13749,33
13750,13
13751,7
13752,4
13753,49
13754,185
13755,487
13756,681
13757,350
13758,236
13759,234
13760,284
13761,280
13762,263
13763,295
13764,479
13765,837
13766,891
13767,652
13768,513
13769,320
13770,288
13771,152
13772,63
13773,42
13774,11
13775,6
13776,9
13777,41
13778,183
13779,473
13780,739
13781,343
13782,181
13783,226
13784,286
13785,310
13786,225
13787,270
13788,406
13789,865
13790,767
13791,607
13792,427
13793,342
13794,262
13795,177
13796,71
13797,43
13798,14
13799,6
13800,12
13801,37
13802,163
13803,421
13804,668
13805,396
13806,249
13807,263
13808,338
13809,345
13810,331
13811,380
13812,492
13813,741
13814,671
13815,469
13816,389
13817,278
13818,202
13819,196
13820,161
13821,122
13822,84
13823,30
13824,13
13825,17
13826,49
13827,67
13828,181
13829,278
13830,396
13831,470
13832,547
13833,527
13834,472
13835,489
13836,450
13837,492
13838,490
13839,397
13840,312
13841,289
13842,269
13843,222
13844,153
13845,87
13846,73
13847,41
13848,14
13849,19
13850,19
13851,68
13852,108
13853,229
13854,364
13855,437
13856,491
13857,523
13858,526
13859,450
13860,421
13861,382
13862,229
13863,185
13864,193
13865,208
13866,157
13867,87
13868,33
13869,11
13870,5
13871,5
13872,11
13873,25
13874,141
13875,407
13876,605
13877,276
13878,213
13879,260
13880,285
13881,289
13882,287
13883,274
13884,451
13885,858
13886,843
13887,640
13888,457
13889,317
13890,207
13891,113
13892,47
13893,18
13894,13
13895,6
13896,9
13897,36
13898,179
13899,502
13900,705
13901,327
13902,250
13903,214
13904,283
13905,253
13906,261
13907,306
13908,445
13909,868
13910,814
13911,610
13912,448
13913,317
13914,224
13915,138
13916,58
13917,23
13918,6
13919,7
13920,7
13921,43
13922,173
13923,482
13924,737
13925,341
13926,214
13927,239
13928,280
13929,313
13930,236
13931,278
13932,441
13933,858
13934,862
13935,686
13936,500
13937,381
13938,233
13939,136
13940,67
13941,28
13942,14
13943,6
13944,10
13945,41
13946,167
13947,475
13948,698
13949,353
13950,205
13951,260
13952,277
13953,281
13954,247
13955,267
13956,417
13957,810
13958,811
13959,623
13960,478
13961,336
13962,259
13963,156
13964,85
13965,41
13966,20
13967,9
13968,7
13969,33
13970,44
13971,133
13972,119
13973,220
13974,193
13975,251
13976,315
13977,290
13978,307
13979,324
13980,467
13981,730
13982,640
13983,492
13984,370
13985,286
13986,218
13987,192
13988,180
13989,116
13990,85
13991,21
13992,10
13993,11
13994,23
13995,62
13996,162
13997,271
13998,407
13999,499
14000,546
14001,569
14002,538
14003,562
14004,531
14005,512
14006,300
14007,275
14008,160
14009,128
14010,168
14011,163
14012,120
14013,113
14014,86
14015,48
14016,10
14017,10
14018,16
14019,39
14020,119
14021,217
14022,328
14023,449
14024,505
14025,543
14026,579
14027,577
14028,513
14029,505
14030,491
14031,465
14032,300
14033,220
14034,181
14035,110
14036,47
14037,14
14038,9
14039,6
14040,11
14041,36
14042,159
14043,436
14044,673
14045,305
14046,199
14047,245
14048,276
14049,254
14050,248
14051,274
14052,464
14053,818
14054,812
14055,555
14056,432
14057,290
14058,192
14059,128
14060,60
14061,27
14062,11
14063,3
14064,5
14065,36
14066,64
14067,179
14068,618
14069,402
14070,208
14071,196
14072,300
14073,286
14074,255
14075,283
14076,458
14077,812
14078,854
14079,627
14080,436
14081,308
14082,189
14083,167
14084,60
14085,37
14086,8
14087,11
14088,4
14089,39
14090,172
14091,492
14092,682
14093,367
14094,233
14095,235
14096,307
14097,294
14098,255
14099,266
14100,431
14101,851
14102,848
14103,649
14104,427
14105,315
14106,226
14107,138
14108,76
14109,21
14110,15
14111,4
14112,5
14113,37
14114,165
14115,464
14116,682
14117,337
14118,199
14119,274
14120,343
14121,300
14122,248
14123,260
14124,419
14125,897
14126,832
14127,677
14128,514
14129,356
14130,254
14131,226
14132,88
14133,54
14134,19
14135,6
14136,9
14137,36
14138,157
14139,379
14140,668
14141,378
14142,231
14143,303
14144,365
14145,357
14146,328
14147,383
14148,488
14149,791
14150,669
14151,491
14152,359
14153,255
14154,213
14155,121
14156,105
14157,92
14158,43
14159,30
14160,13
14161,9
14162,27
14163,64
14164,189
14165,292
14166,480
14167,536
14168,654
14169,644
14170,598
14171,596
14172,641
14173,635
14174,554
14175,488
14176,341
14177,338
14178,261
14179,235
14180,187
14181,131
14182,119
14183,55
14184,26
14185,11
14186,20
14187,41
14188,124
14189,270
14190,425
14191,272
14192,298
14193,162
14194,149
14195,276
14196,356
14197,343
14198,377
14199,341
14200,274
14201,190
14202,56
14203,46
14204,26
14205,10
14206,5
14207,3
14208,7
14209,37
14210,161
14211,442
14212,655
14213,357
14214,193
14215,241
14216,282
14217,291
14218,275
14219,309
14220,460
14221,893
14222,815
14223,299
14224,261
14225,245
14226,161
14227,102
14228,59
14229,33
14230,8
14231,3
14232,4
14233,34
14234,169
14235,519
14236,723
14237,328
14238,178
14239,256
14240,305
14241,331
14242,302
14243,302
14244,467
14245,878
14246,625
14247,476
14248,358
14249,280
14250,232
14251,136
14252,55
14253,21
14254,17
14255,7
14256,8
14257,40
14258,187
14259,553
14260,740
14261,376
14262,225
14263,267
14264,312
14265,316
14266,266
14267,316
14268,460
14269,783
14270,683
14271,580
14272,391
14273,351
14274,281
14275,140
14276,60
14277,25
14278,20
14279,9
14280,6
14281,37
14282,192
14283,481
14284,707
14285,412
14286,233
14287,278
14288,332
14289,346
14290,305
14291,305
14292,465
14293,820
14294,941
14295,633
14296,474
14297,329
14298,198
14299,157
14300,111
14301,42
14302,16
14303,8
14304,8
14305,38
14306,151
14307,425
14308,744
14309,389
14310,262
14311,281
14312,371
14313,351
14314,338
14315,350
14316,515
14317,812
14318,736
14319,536
14320,363
14321,306
14322,251
14323,178
14324,135
14325,115
14326,79
14327,38
14328,12
14329,14
14330,30
14331,102
14332,162
14333,288
14334,442
14335,457
14336,584
14337,517
14338,482
14339,233
14340,434
14341,403
14342,383
14343,354
14344,241
14345,208
14346,182
14347,158
14348,134
14349,134
14350,116
14351,53
14352,16
14353,16
14354,21
14355,34
14356,133
14357,263
14358,385
14359,482
14360,626
14361,541
14362,377
14363,391
14364,173
14365,233
14366,264
14367,292
14368,211
14369,166
14370,114
14371,80
14372,32
14373,7
14374,8
14375,4
14376,12
14377,36
14378,145
14379,433
14380,699
14381,342
14382,206
14383,229
14384,283
14385,288
14386,246
14387,282
14388,444
14389,845
14390,834
14391,573
14392,416
14393,278
14394,161
14395,114
14396,38
14397,21
14398,15
14399,4
14400,8
14401,42
14402,147
14403,269
14404,693
14405,395
14406,204
14407,218
14408,297
14409,288
14410,251
14411,317
14412,480
14413,864
14414,818
14415,597
14416,435
14417,314
14418,216
14419,109
14420,47
14421,14
14422,6
14423,9
14424,10
14425,40
14426,181
14427,554
14428,808
14429,348
14430,178
14431,253
14432,360
14433,300
14434,301
14435,338
14436,493
14437,870
14438,812
14439,643
14440,427
14441,313
14442,235
14443,157
14444,65
14445,23
14446,17
14447,5
14448,8
14449,35
14450,163
14451,532
14452,754
14453,396
14454,234
14455,276
14456,294
14457,290
14458,273
14459,338
14460,482
14461,844
14462,853
14463,610
14464,471
14465,307
14466,291
14467,152
14468,82
14469,32
14470,20
14471,5
14472,7
14473,29
14474,108
14475,421
14476,690
14477,398
14478,256
14479,309
14480,410
14481,368
14482,436
14483,526
14484,528
14485,617
14486,546
14487,452
14488,356
14489,303
14490,277
14491,174
14492,168
14493,79
14494,69
14495,35
14496,12
14497,22
14498,36
14499,66
14500,162
14501,237
14502,417
14503,492
14504,471
14505,504
14506,514
14507,563
14508,462
14509,463
14510,442
14511,392
14512,207
14513,104
14514,78
14515,145
14516,99
14517,73
14518,84
14519,42
14520,22
14521,12
14522,15
14523,42
14524,129
14525,232
14526,388
14527,489
14528,545
14529,493
14530,457
14531,355
14532,474
14533,503
14534,500
14535,292
14536,104
14537,171
14538,166
14539,123
14540,104
14541,55
14542,40
14543,28
14544,11
14545,4
14546,15
14547,43
14548,127
14549,229
14550,359
14551,459
14552,543
14553,566
14554,512
14555,449
14556,500
14557,498
14558,482
14559,374
14560,261
14561,184
14562,121
14563,70
14564,29
14565,24
14566,5
14567,10
14568,8
14569,38
14570,172
14571,493
14572,632
14573,323
14574,172
14575,198
14576,287
14577,275
14578,274
14579,292
14580,458
14581,856
14582,839
14583,552
14584,385
14585,268
14586,179
14587,95
14588,37
14589,13
14590,9
14591,4
14592,5
14593,40
14594,210
14595,500
14596,725
14597,290
14598,235
14599,217
14600,266
14601,234
14602,211
14603,245
14604,430
14605,863
14606,839
14607,662
14608,412
14609,296
14610,219
14611,150
14612,65
14613,18
14614,8
14615,9
14616,8
14617,38
14618,200
14619,482
14620,646
14621,123
14622,49
14623,62
14624,137
14625,191
14626,216
14627,270
14628,416
14629,808
14630,835
14631,558
14632,406
14633,272
14634,217
14635,169
14636,96
14637,29
14638,11
14639,9
14640,8
14641,40
14642,140
14643,486
14644,719
14645,344
14646,224
14647,296
14648,323
14649,354
14650,253
14651,331
14652,470
14653,772
14654,792
14655,568
14656,391
14657,301
14658,299
14659,248
14660,150
14661,117
14662,77
14663,43
14664,11
14665,15
14666,34
14667,82
14668,230
14669,348
14670,422
14671,578
14672,694
14673,668
14674,626
14675,512
14676,114
14677,171
14678,167
14679,215
14680,194
14681,181
14682,194
14683,133
14684,124
14685,124
14686,96
14687,46
14688,28
14689,55
14690,35
14691,70
14692,170
14693,299
14694,495
14695,585
14696,757
14697,729
14698,647
14699,696
14700,701
14701,671
14702,560
14703,496
14704,356
14705,206
14706,189
14707,92
14708,41
14709,18
14710,17
14711,12
14712,5
14713,40
14714,180
14715,447
14716,730
14717,361
14718,210
14719,236
14720,332
14721,323
14722,340
14723,346
14724,488
14725,871
14726,968
14727,633
14728,390
14729,285
14730,159
14731,93
14732,32
14733,10
14734,6
14735,8
14736,9
14737,44
14738,211
14739,596
14740,750
14741,358
14742,196
14743,247
14744,316
14745,328
14746,255
14747,326
14748,536
14749,970
14750,877
14751,596
14752,461
14753,310
14754,216
14755,109
14756,49
14757,21
14758,11
14759,7
14760,5
14761,48
14762,205
14763,557
14764,770
14765,328
14766,205
14767,232
14768,352
14769,323
14770,278
14771,318
14772,509
14773,925
14774,977
14775,635
14776,470
14777,306
14778,212
14779,127
14780,57
14781,28
14782,9
14783,11
14784,6
14785,57
14786,195
14787,571
14788,758
14789,338
14790,212
14791,254
14792,297
14793,283
14794,274
14795,352
14796,491
14797,884
14798,852
14799,674
14800,463
14801,317
14802,251
14803,170
14804,87
14805,41
14806,30
14807,14
14808,12
14809,41
14810,152
14811,454
14812,766
14813,347
14814,246
14815,280
14816,409
14817,408
14818,371
14819,367
14820,563
14821,894
14822,808
14823,579
14824,404
14825,312
14826,229
14827,195
14828,207
14829,109
14830,93
14831,37
14832,6
14833,16
14834,33
14835,73
14836,212
14837,342
14838,442
14839,627
14840,706
14841,704
14842,715
14843,654
14844,783
14845,729
14846,614
14847,478
14848,330
14849,296
14850,279
14851,229
14852,151
14853,117
14854,89
14855,48
14856,8
14857,13
14858,35
14859,71
14860,128
14861,296
14862,490
14863,559
14864,656
14865,694
14866,635
14867,557
14868,596
14869,570
14870,481
14871,403
14872,324
14873,191
14874,127
14875,94
14876,45
14877,21
14878,13
14879,7
14880,11
14881,45
14882,164
14883,492
14884,683
14885,299
14886,202
14887,252
14888,295
14889,343
14890,332
14891,338
14892,453
14893,842
14894,774
14895,486
14896,340
14897,233
14898,129
14899,70
14900,13
14901,5
14902,4
14903,6
14904,7
14905,48
14906,167
14907,356
14908,672
14909,293
14910,160
14911,151
14912,88
14913,114
14914,143
14915,36
14916,141
14917,338
14918,281
14919,324
14920,290
14921,207
14922,151
14923,78
14924,26
14925,12
14926,3
14927,5
14928,10
14929,56
14930,172
14931,545
14932,797
14933,362
14934,192
14935,247
14936,313
14937,289
14938,286
14939,311
14940,466
14941,886
14942,892
14943,611
14944,409
14945,349
14946,229
14947,123
14948,58
14949,18
14950,11
14951,6
14952,6
14953,56
14954,170
14955,534
14956,790
14957,355
14958,190
14959,243
14960,290
14961,336
14962,298
14963,291
14964,457
14965,976
14966,900
14967,603
14968,417
14969,274
14970,287
14971,154
14972,66
14973,49
14974,14
14975,12
14976,10
14977,49
14978,165
14979,503
14980,757
14981,383
14982,225
14983,321
14984,389
14985,421
14986,412
14987,423
14988,567
14989,846
14990,805
14991,588
14992,369
14993,312
14994,295
14995,186
14996,172
14997,124
14998,83
14999,45
15000,15
15001,17
15002,41
15003,77
15004,218
15005,377
15006,474
15007,626
15008,688
15009,707
15010,654
15011,750
15012,680
15013,646
15014,598
15015,407
15016,325
15017,261
15018,239
15019,171
15020,180
15021,142
15022,95
15023,54
15024,10
15025,6
15026,16
15027,57
15028,175
15029,276
15030,489
15031,570
15032,776
15033,702
15034,666
15035,640
15036,691
15037,723
15038,540
15039,413
15040,252
15041,196
15042,138
15043,100
15044,64
15045,18
15046,8
15047,5
15048,8
15049,37
15050,168
15051,530
15052,750
15053,328
15054,198
15055,238
15056,342
15057,328
15058,303
15059,300
15060,516
15061,898
15062,853
15063,590
15064,432
15065,256
15066,172
15067,94
15068,64
15069,13
15070,14
15071,5
15072,9
15073,47
15074,194
15075,556
15076,805
15077,409
15078,170
15079,218
15080,302
15081,305
15082,293
15083,303
15084,495
15085,967
15086,822
15087,539
15088,425
15089,297
15090,188
15091,98
15092,40
15093,29
15094,17
15095,10
15096,14
15097,36
15098,182
15099,532
15100,838
15101,334
15102,185
15103,227
15104,316
15105,340
15106,277
15107,300
15108,468
15109,953
15110,884
15111,627
15112,434
15113,360
15114,215
15115,115
15116,65
15117,21
15118,16
15119,7
15120,8
15121,66
15122,169
15123,558
15124,794
15125,335
15126,208
15127,294
15128,335
15129,326
15130,258
15131,296
15132,472
15133,905
15134,899
15135,559
15136,457
15137,253
15138,47
15139,45
15140,17
15141,13
15142,10
15143,7
15144,12
15145,38
15146,138
15147,394
15148,705
15149,426
15150,245
15151,361
15152,380
15153,410
15154,399
15155,392
15156,502
15157,808
15158,667
15159,508
15160,336
15161,237
15162,220
15163,190
15164,149
15165,101
15166,92
15167,29
15168,14
15169,15
15170,37
15171,73
15172,211
15173,332
15174,472
15175,663
15176,682
15177,686
15178,750
15179,727
15180,722
15181,712
15182,594
15183,470
15184,315
15185,292
15186,221
15187,196
15188,147
15189,116
15190,92
15191,58
15192,7
15193,10
15194,22
15195,57
15196,144
15197,285
15198,479
15199,591
15200,680
15201,594
15202,612
15203,649
15204,648
15205,575
15206,401
15207,257
15208,194
15209,123
15210,91
15211,57
15212,45
15213,18
15214,12
15215,7
15216,10
15217,36
15218,155
15219,483
15220,784
15221,340
15222,179
15223,272
15224,323
15225,305
15226,244
15227,329
15228,459
15229,856
15230,613
15231,516
15232,262
15233,218
15234,207
15235,105
15236,31
15237,11
15238,2
15239,5
15240,10
15241,43
15242,179
15243,260
15244,134
15245,86
15246,45
15247,99
15248,104
15249,154
15250,163
15251,209
15252,374
15253,715
15254,687
15255,395
15256,306
15257,289
15258,240
15259,98
15260,52
15261,19
15262,9
15263,7
15264,11
15265,34
15266,177
15267,515
15268,809
15269,362
15270,175
15271,230
15272,358
15273,279
15274,251
15275,319
15276,478
15277,917
15278,810
15279,593
15280,497
15281,209
15282,241
15283,220
15284,76
15285,25
15286,13
15287,11
15288,10
15289,39
15290,133
15291,391
15292,738
15293,359
15294,177
15295,214
15296,288
15297,294
15298,267
15299,325
15300,497
15301,901
15302,887
15303,534
15304,441
15305,321
15306,232
15307,155
15308,102
15309,46
15310,11
15311,16
15312,11
15313,41
15314,137
15315,428
15316,785
15317,384
15318,260
15319,304
15320,468
15321,424
15322,400
15323,470
15324,634
15325,900
15326,761
15327,500
15328,372
15329,267
15330,264
15331,171
15332,191
15333,141
15334,75
15335,56
15336,11
15337,10
15338,30
15339,84
15340,206
15341,395
15342,539
15343,647
15344,743
15345,710
15346,576
15347,620
15348,659
15349,610
15350,495
15351,341
15352,247
15353,215
15354,185
15355,179
15356,127
15357,109
15358,74
15359,22
15360,11
15361,10
15362,23
15363,35
15364,62
15365,86
15366,185
15367,336
15368,392
15369,320
15370,314
15371,306
15372,333
15373,157
15374,106
15375,114
15376,116
15377,113
15378,79
15379,80
15380,51
15381,37
15382,15
15383,10
15384,7
15385,19
15386,59
15387,154
15388,397
15389,332
15390,298
15391,308
15392,341
15393,405
15394,420
15395,370
15396,377
15397,497
15398,456
15399,371
15400,227
15401,151
15402,107
15403,69
15404,31
15405,13
15406,7
15407,3
15408,7
15409,19
15410,143
15411,362
15412,713
15413,382
15414,164
15415,193
15416,260
15417,238
15418,244
15419,254
15420,424
15421,806
15422,784
15423,514
15424,360
15425,225
15426,162
15427,84
15428,33
15429,8
15430,8
15431,6
15432,6
15433,40
15434,175
15435,507
15436,839
15437,366
15438,217
15439,291
15440,390
15441,297
15442,271
15443,319
15444,566
15445,948
15446,844
15447,566
15448,392
15449,269
15450,197
15451,136
15452,42
15453,11
15454,11
15455,3
15456,10
15457,42
15458,159
15459,478
15460,798
15461,355
15462,204
15463,251
15464,326
15465,291
15466,348
15467,460
15468,481
15469,827
15470,692
15471,743
15472,415
15473,260
15474,177
15475,186
15476,68
15477,37
15478,16
15479,6
15480,8
15481,35
15482,143
15483,392
15484,745
15485,400
15486,275
15487,313
15488,387
15489,381
15490,371
15491,455
15492,520
15493,837
15494,642
15495,493
15496,308
15497,190
15498,160
15499,100
15500,249
15501,146
15502,67
15503,15
15504,11
15505,11
15506,28
15507,70
15508,174
15509,266
15510,347
15511,527
15512,573
15513,670
15514,597
15515,615
15516,637
15517,528
15518,473
15519,332
15520,255
15521,204
15522,189
15523,125
15524,111
15525,112
15526,66
15527,28
15528,12
15529,11
15530,24
15531,51
15532,132
15533,223
15534,428
15535,494
15536,562
15537,619
15538,617
15539,568
15540,581
15541,539
15542,453
15543,336
15544,246
15545,196
15546,125
15547,105
15548,48
15549,29
15550,6
15551,4
15552,10
15553,40
15554,147
15555,476
15556,737
15557,359
15558,168
15559,263
15560,284
15561,146
15562,185
15563,260
15564,447
15565,766
15566,592
15567,239
15568,256
15569,206
15570,126
15571,81
15572,48
15573,13
15574,3
15575,2
15576,7
15577,52
15578,172
15579,525
15580,835
15581,355
15582,222
15583,228
15584,325
15585,328
15586,308
15587,346
15588,446
15589,943
15590,838
15591,531
15592,432
15593,195
15594,181
15595,199
15596,49
15597,17
15598,16
15599,7
15600,4
15601,41
15602,178
15603,464
15604,817
15605,382
15606,228
15607,234
15608,332
15609,310
15610,270
15611,301
15612,466
15613,888
15614,884
15615,516
15616,414
15617,329
15618,215
15619,99
15620,57
15621,14
15622,14
15623,5
15624,5
15625,42
15626,153
15627,508
15628,834
15629,387
15630,218
15631,268
15632,377
15633,332
15634,285
15635,353
15636,450
15637,890
15638,788
15639,513
15640,387
15641,283
15642,229
15643,117
15644,56
15645,16
15646,10
15647,5
15648,6
15649,36
15650,131
15651,154
15652,467
15653,389
15654,224
15655,252
15656,332
15657,375
15658,365
15659,395
15660,565
15661,425
15662,233
15663,232
15664,229
15665,206
15666,190
15667,131
15668,123
15669,95
15670,78
15671,29
15672,18
15673,13
15674,31
15675,65
15676,193
15677,363
15678,423
15679,612
15680,703
15681,714
15682,711
15683,711
15684,691
15685,731
15686,521
15687,345
15688,259
15689,296
15690,202
15691,163
15692,154
15693,117
15694,132
15695,41
15696,21
15697,10
15698,26
15699,56
15700,143
15701,269
15702,443
15703,547
15704,675
15705,626
15706,640
15707,623
15708,591
15709,491
15710,413
15711,266
15712,195
15713,166
15714,113
15715,66
15716,31
15717,11
15718,5
15719,6
15720,7
15721,46
15722,144
15723,452
15724,728
15725,360
15726,212
15727,211
15728,283
15729,315
15730,282
15731,296
15732,524
15733,922
15734,786
15735,514
15736,403
15737,174
15738,183
15739,163
15740,37
15741,17
15742,7
15743,1
15744,7
15745,50
15746,158
15747,531
15748,761
15749,334
15750,221
15751,253
15752,378
15753,303
15754,296
15755,346
15756,541
15757,938
15758,826
15759,482
15760,379
15761,295
15762,194
15763,111
15764,46
15765,27
15766,6
15767,4
15768,6
15769,53
15770,173
15771,526
15772,801
15773,373
15774,171
15775,236
15776,316
15777,306
15778,301
15779,308
15780,532
15781,963
15782,858
15783,572
15784,441
15785,313
15786,238
15787,123
15788,76
15789,28
15790,18
15791,8
15792,5
15793,55
15794,171
15795,495
15796,779
15797,343
15798,225
15799,238
15800,319
